name,weekend,NAME_1
T2航站楼,110.5,D2
T3航站楼,149.7058823529412,D2
万源街,133.47368421052633,D4
东单,403.36842105263156,D0
东四,368.42105263157896,D0
东四十条,536.9473684210526,D0
东夏园,130.8421052631579,D3
东直门,1485.0526315789473,D0
中国美术馆,137,D0
临河里,195.22222222222223,D3
义和庄,154.27777777777777,D5
九棵树,275.1111111111111,D3
五福堂,60.72222222222222,D4
亦庄文化园,102.61111111111111,D4
亦庄桥,164.89473684210526,D4
亦庄火车站,15.722222222222221,D4
什刹海,187.73684210526315,D0
俸伯,386.35,D2
前门,523.1052631578947,D0
北京站,1353.4736842105262,D0
北新桥,346.63157894736844,D0
北海北,304.2631578947368,D0
北运河东,13.894736842105264,D3
北运河西,419.1578947368421,D3
北邵洼,68.44444444444444,D1
十三陵景区,42.333333333333336,D1
南法信,173.05263157894737,D2
南礼士路,313.7368421052632,D0
南邵,163.26315789473685,D1
南锣鼓巷,486.05263157894734,D0
同济南路,390.8421052631579,D4
后沙峪,342.6842105263158,D2
和平里北街,333.1578947368421,D0
和平门,190.73684210526315,D0
国展,357,D2
土桥,298.6111111111111,D3
复兴门,305.3157894736842,D0
天坛东门,321.89473684210526,D0
天安门东,542.0526315789474,D0
天安门西,277.7894736842105,D0
天宫院,563,D5
天桥,122.26315789473684,D0
安定门,247.31578947368422,D0
安德里北街,96,D0
宣武门,330.10526315789474,D0
崇文门,991.0526315789474,D0
平安里,411.10526315789474,D0
广安门内,498.5263157894737,D0
广渠门内,375.05263157894734,D0
广渠门外,250.47368421052633,D0
广阳城,104.78947368421052,D6
张自忠路,174.47368421052633,D0
德茂,56.833333333333336,D4
房山城关,50.35294117647059,D6
新街口,284.2631578947368,D0
旧宫,334.55555555555554,D4
昌平,426.3333333333333,D1
昌平东关,196.5,D1
昌平西山口,83.72222222222223,D1
星城,68.5,D6
景泰,182.33333333333334,D0
木樨地,286,D0
果园,195.16666666666666,D3
枣园,423.7894736842105,D5
桥湾,125.10526315789474,D0
梨园,376.1666666666667,D3
次渠,72.55555555555556,D4
次渠南,115.55555555555556,D4
永定门外,189.6315789473684,D0
清源路,380.05555555555554,D5
湾子,267.05263157894734,D0
潞城,221.10526315789474,D3
瀛海,129.66666666666666,D4
灯市口,392.5263157894737,D0
燕山,54.166666666666664,D6
物资学院路,561.5263157894736,D3
王府井,678,D0
珠市口,187.89473684210526,D0
生物医药基地,408.27777777777777,D5
石门,295.89473684210526,D2
磁器口,375.1578947368421,D0
积水潭,895,D0
篱笆房,183.73684210526315,D6
经海路,233.27777777777777,D4
良乡南关,146.26315789473685,D6
良乡大学城,173.61111111111111,D6
良乡大学城北,89.16666666666667,D6
良乡大学城西,190.6315789473684,D6
花梨坎,197.89473684210526,D2
苏庄,126.11111111111111,D6
荣京东街,205.42105263157896,D4
荣昌东街,332.3157894736842,D4
菜市口,355.36842105263156,D0
虎坊桥,166.26315789473685,D0
西单,1480.5263157894738,D0
西四,377.7368421052632,D0
西直门,1115.9473684210527,D0
西红门,930.2105263157895,D5
车公庄,344,D0
车公庄西,224.1578947368421,D0
达官营,428.42105263157896,D0
通州北关,411.1111111111111,D3
通州北苑,434.6842105263158,D3
郝家府,25.842105263157894,D3
长椿街,404.7894736842105,D0
阎村东,41.111111111111114,D6
阜成门,437,D0
陶然亭,485.94736842105266,D0
雍和宫,480.63157894736844,D0
顺义,453.1578947368421,D2
饶乐府,28.823529411764707,D6
马各庄,21.647058823529413,D6
高米店北,227.89473684210526,D5
高米店南,277.2631578947368,D5
黄村火车站,217.8421052631579,D5
黄村西大街,481.94736842105266,D5
鼓楼大街,315.63157894736844,D0
