name,NAME_1,Parking Density
天宫院,,8.455106351756939
生物医药基地,,7.957747154594767
饶乐府,,0.994718394324346
马各庄,,3.978873577297383
房山城关,,6.465669563108247
义和庄,,4.476232774459556
星城,,0.497359197162173
燕山,,6.96302876027042
黄村火车站,,55.70423008216336
苏庄,,14.423416717703017
良乡大学城西,,9.947183943243456
良乡南关,,25.86267825243299
良乡大学城,,3.48151438013521
阎村东,,0
良乡大学城北,,1.989436788648692
黄村西大街,,73.60916118000158
清源路,,38.29665818148732
广阳城,,3.48151438013521
枣园,,37.301939787162965
瀛海,,3.48151438013521
篱笆房,,11.93662073189215
高米店南,,36.8045805900008
德茂,,0.994718394324346
同济南路,,7.460387957432594
高米店北,,23.8732414637843
荣昌东街,,34.8151438013521
经海路,,6.96302876027042
五福堂,,13.92605752054084
西红门,,23.8732414637843
荣京东街,,32.82570701270341
次渠南,,5.470951168783902
万源街,,52.72007489919033
亦庄桥,,19.894367886486915
次渠,,1.492077591486519
旧宫,,14.920775914865189
亦庄文化园,,35.31250299851428
亦庄火车站,,0.497359197162173
景泰,,55.70423008216336
永定门外,,56.6989484764877
土桥,,13.428698323378669
临河里,,17.904931097838226
陶然亭,,76.59331636297462
天桥,,39.78873577297383
天坛东门,,38.794017378649485
梨园,,37.799298984325134
菜市口,,93.50352906648853
广安门内,,111.9058193614889
虎坊桥,,57.19630767364988
达官营,,102.95335381256976
湾子,,126.82659527635408
九棵树,,35.31250299851428
珠市口,,37.799298984325134
桥湾,,89.02729629202895
磁器口,,97.97976184094804
果园,,34.8151438013521
广渠门内,,121.85300330473235
广渠门外,,60.677822053785086
长椿街,,97.4824026437859
宣武门,,108.92166417851584
和平门,,76.59331636297462
前门,,25.365319055270817
崇文门,,117.87412972743496
潞城,,2.984155182973038
北运河西,,16.412853506351706
郝家府,,1.492077591486519
东夏园,,1.989436788648692
北运河东,,2.486795985810864
通州北苑,,38.794017378649485
北京站,,123.34508089621887
西单,,124.33979929054324
南礼士路,,134.28698323378669
复兴门,,172.0862822181118
木樨地,,75.10123877148811
天安门西,,14.423416717703017
天安门东,,17.40757190067605
王府井,,93.00616986932634
东单,,118.86884812175931
灵境胡同,,112.40317855865108
灯市口,,109.9163825728402
通州北关,,7.957747154594767
阜成门,,121.3556441075702
中国美术馆,,79.57747154594766
西四,,39.78873577297383
东四,,77.58803475729897
物资学院路,,10.444543140405631
车公庄,,140.25529359973277
车公庄西,,94.0008882636507
北海北,,20.391727083649087
张自忠路,,32.82570701270341
东四十条,,186.50969893581484
南锣鼓巷,,30.83627022405472
平安里,,37.301939787162965
什刹海,,14.423416717703017
西直门,,119.86356651608368
新街口,,107.42958658702932
北新桥,,35.809862195676445
东直门,,121.3556441075702
积水潭,,84.05370432040722
鼓楼大街,,52.72007489919033
安定门,,56.20158927932554
雍和宫,,39.29137657581166
安德里北街,,60.677822053785086
和平里北街,,77.58803475729897
T3航站楼,,14.423416717703017
国展,,16.412853506351706
T2航站楼,,14.423416717703017
花梨坎,,3.48151438013521
后沙峪,,13.428698323378669
南法信,,3.978873577297383
石门,,36.30722139283862
顺义,,48.24384212473077
俸伯,,4.476232774459556
南邵,,2.984155182973038
昌平,,62.66725884243378
昌平东关,,15.915494309189532
北邵洼,,0
十三陵景区,,0.497359197162173
昌平西山口,,0
