name,workday,NAME_1,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank,Labour Day,Have to work,weekend,Transfer Lines,FDof Study Area,FM of Study Area,FAR of Study Area,BD of Study Area,Distance to city center,FD of Regulated Area,FM of Regulated Area,FAR of Regulated Area,BD of Regulated Area,Road Density,Balance Coefficient,Peak Hour Coefficient,Subway Inflow/Outflow,Bus Inflow/Outflow
T2航站楼,148.2314814814815,D1,,,,,,211.56944444444449,160.11111111111111,110.5,0,268,3.447157091584669,0.3175526687017246,0.0685989237950606,25.22499168447781,150,3.2838777066554043,0.1615017359377629,0.0335352324500856,16.663333086618813,1.2585120512529249,1.6639511101184503,0.8381810381810382,0.0
T3航站楼,192.35294117647052,D1,,,,,,240.3235294117647,204.4705882352941,149.7058823529412,0,209,3.8142109966298254,0.3959037137635003,0.0789965021157477,24.445433923230794,108,3.459389038394335,0.1228930055512777,0.040427380437914,18.742681647366883,1.2913796936683772,1.6076378321878346,0.7964439444335747,0.0
万源街,266.1171171171171,D1,0.0045351473922902,0.0345701917130488,0.0580181926064637,3.1360599549655457e-10,0.001935076898523,135.65753424657535,242.57894736842104,133.47368421052633,1,1748,3.6805621334335576,1.5176958316112403,0.2211188736016415,14.355029202125165,855,3.3979189085162456,0.4477446699059754,0.058061411064931,15.8972860519693,2.6760459740204863,5.471105540938375,0.8919596884214233,0.32304595773230466
东单,1196.9130434782608,D0,0.0090702947845804,0.0917542774685631,0.0885447604647395,5.755668942064726e-14,0.0024469106629029,473.4078947368421,1021.7368421052632,403.3684210526316,2,2330,4.302988460862558,2.3437345586051137,0.2885912770658694,1.475776503699376,241,3.7259336257395512,0.3161472878260989,0.0310142016921562,20.604065409849618,2.771507427538287,5.961894805959562,0.9352483107596279,0.7187559992320983
东四,688.4298245614035,D0,0.0090702947845804,0.0879921665635951,0.092675843238872,8.745820094783766e-12,0.0030518361412755,404.8831168831169,617.1052631578947,368.42105263157896,2,2050,4.207606555231352,1.896782920600516,0.3396087616817463,2.336717646301896,315,4.062718508830107,0.3015863257351696,0.0510116603978324,19.747903567728123,2.6235526152289483,4.464136815808101,0.9924892106915489,0.0
东四十条,1154.219298245614,D0,0.0068027210884353,0.0715419501133786,0.0884547393581263,3.036258197013691e-09,0.0015924666237811,363.2236842105263,990.157894736842,536.9473684210526,1,3544,3.855563173424406,2.2454677697206,0.268650564737416,4.088185180050696,734,3.185451479766912,0.3571185663826077,0.0284668918559389,19.655844606038368,2.93009985112594,5.925528846404037,0.9368538167213916,291.6666666666667
东夏园,236.91666666666663,D1,0.0045351473922902,0.0089878375592661,0.0420716062053448,2.808022821946321e-29,0.0021790769835133,152.41095890410958,222.0,130.8421052631579,1,93,3.2265888987653466,0.3899962848325642,0.0787604102462428,28.269705821948303,16,2.133381930264545,0.1224759340734241,0.0323680961258597,18.71169765034768,2.1743367749694285,3.1444867156852303,1.0052807312510361,0.0
东直门,2500.2017543859647,D0,0.0113378684807256,0.0652958152958153,0.0899918097151976,2.204484764645016e-07,0.0035638817885126,1783.1447368421052,2302.7894736842104,1485.0526315789473,3,2429,4.033052474193577,1.90393529262786,0.2277231611874714,4.709204272460906,593,3.810165443575948,0.3457697627962937,0.0272128469692112,19.49245146604984,2.1744867240791765,2.826256844419262,0.9083584111994147,0.0
中国美术馆,195.65740740740745,D0,0.0045351473922902,0.0327045969903112,0.0870563154219062,4.03078067375842e-12,0.0016631772527922,298.09589041095893,186.3333333333333,137.0,1,1926,4.233946310275016,1.9367873359871524,0.3370809960214299,2.1540572870523222,342,3.9502448109566366,0.2934215858855312,0.0454688592655017,21.187342865943084,1.9638193102064505,3.931760333502341,1.1831587361689595,0.8939921392476137
临河里,434.0275229357798,D1,0.0045351473922902,0.0154710368996083,0.0422185955127392,1.3388894006354743e-31,0.0017613829507097,219.23611111111111,414.3888888888889,195.22222222222223,1,938,3.83666385552052,0.9456552755009522,0.1280644005706929,23.81007620841312,118,3.4873187314847387,0.1563090119261207,0.0274535646011071,20.909321024625243,1.5104353234141312,3.6405479239320937,0.706052792103366,1.6988684185916019
义和庄,225.19642857142856,D1,0.0045351473922902,0.0089878375592661,0.0483517181464116,3.760778332726678e-17,0.0030984900636933,195.2465753424657,221.61111111111111,154.27777777777777,1,68,3.155285934820125,0.3673743837745215,0.0527414037055337,22.61944438151645,21,2.5164103001539404,0.1880267231329567,0.0215068934292595,18.848120127819787,1.4720869726948334,2.815842983983373,1.1030430452583824,0.25660377358490566
九棵树,463.2090909090909,D1,0.0045351473922902,0.0238816738816738,0.0458302157778408,2.8866023306797908e-28,0.0019491901303915,301.2191780821918,407.2105263157895,275.1111111111111,1,1600,3.893161746410125,1.254279006374304,0.2106002842137189,21.82485236080641,704,3.771045972031534,0.3450092270322586,0.047382780279088,36.524077512143776,1.5708813755879607,3.207704301876145,0.8981670547495373,1.2703596527490701
五福堂,87.35454545454546,D1,0.0045351473922902,0.0089878375592661,0.0542284228575499,8.247748687126293e-18,0.0027351297505397,67.24324324324324,81.21052631578948,60.72222222222222,1,456,3.5739229479934767,0.7792474897782196,0.1686807946528396,13.498148078882965,194,3.471285553673104,0.2319235603617726,0.0409603142635365,18.67811093612284,1.672615053823419,2.793420971462796,1.0856478722136131,0.0
亦庄文化园,186.78703703703704,D1,0.0045351473922902,0.0387445887445887,0.0570069988419951,8.446688476602807e-12,0.0017992594725869,100.0,173.66666666666666,102.61111111111111,0,1038,3.785532318394924,0.9726139327717588,0.1265492187570348,13.254419245876012,377,3.55842374821568,0.2848586129020776,0.0286253375680932,12.857885332581631,1.946603280541978,2.6138347728860527,0.9665686181484644,0.0
亦庄桥,258.05357142857144,D1,0.0045351473922902,0.0428983714698,0.0588103836911268,1.449356954239196e-13,0.0019552640943999,164.5,243.68421052631572,164.89473684210526,1,628,3.908607999407701,0.9101615570831706,0.1379516341878172,13.148804926633291,136,3.5707713960327023,0.2102038885729187,0.0299766363790941,15.561237809266396,1.7495135915314393,3.0608218596624592,1.215017783109203,0.0
