name,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank
天宫院,0.0022675736961451,0.0,0.0440794820309317,5.920848762675449e-20,0.0013465723012319
生物医药基地,0.0045351473922902,0.0045042259327973,0.0461217565906769,1.898869011203249e-18,0.0031036558931235
饶乐府,0.0068027210884353,0.0223768295196866,0.0327353757365689,5.232421167971288e-37,0.0028827964158824
马各庄,0.0045351473922902,0.0267161410018552,0.0338221433807545,3.089745493611393e-35,0.0020325605039478
房山城关,0.0045351473922902,0.0045042259327973,0.0316977854971775,1.6137390967417983e-38,0.002631515302091
义和庄,0.0045351473922902,0.0089878375592661,0.0483517181464116,3.760778332726678e-17,0.0030984900636933
星城,0.0045351473922902,0.0354566068851783,0.0362094563145717,2.5955917035435597e-32,0.0024436429044092
燕山,0.0022675736961451,0.0,0.030719610773481,5.792634477750699e-40,0.0015441079362689
黄村火车站,0.0045351473922902,0.0134508348794063,0.0507964045029501,1.1839819236293597e-15,0.0020521634125449
苏庄,0.0045351473922902,0.0526901669758812,0.0420634701376199,5.404048470608299e-26,0.0022988733705968
良乡大学城西,0.0045351473922902,0.0611832611832611,0.0457050229211247,1.7353465378702897e-22,0.0021416549578087
良乡南关,0.0045351473922902,0.0569470212327355,0.0438131139251954,3.063043801116862e-24,0.0018446450937489
良乡大学城,0.0045351473922902,0.0653988868274582,0.0477572080539318,7.533005297613271e-21,0.0020151476535554
阎村东,0.0045351473922902,0.0484126984126984,0.040440681246004,1.6500093262763426e-27,0.0025639774523976
良乡大学城北,0.0045351473922902,0.0695938981653267,0.049990853615636,4.787619660373122e-19,0.0020392991659637
黄村西大街,0.0045351473922902,0.0178932178932178,0.0534883079015449,6.883420596658449e-14,0.0018193401090034
清源路,0.0045351473922902,0.0223149866007008,0.0564668234895204,3.272691330427622e-12,0.0020178653489738
广阳城,0.0045351473922902,0.0737682951968666,0.0524310483503995,1.8044637264640828e-17,0.0020515172268669
枣园,0.0045351473922902,0.0267161410018552,0.0597801852636066,1.5910903433903047e-10,0.0018788480787744
瀛海,0.0022675736961451,0.0,0.0489116717071357,7.665976739070899e-21,0.0013096182773004
篱笆房,0.0045351473922902,0.0779220779220779,0.0551077284219996,9.241516042347808e-16,0.001805658744731
高米店南,0.0045351473922902,0.031096681096681,0.0634880922596709,8.306613849018886e-09,0.0016712595156642
德茂,0.0045351473922902,0.0045042259327973,0.0514390928418192,2.9824697278004333e-19,0.0027483943881119
同济南路,0.0045351473922902,0.0017522160379303,0.0606976989205058,2.445759749036514e-08,0.0022583858827886
高米店北,0.0045351473922902,0.0354566068851783,0.0676653302478247,4.117036497276388e-07,0.0016640982182988
荣昌东街,0.0090702947845804,0.0268501339929911,0.063321747913139,6.125787239529742e-07,0.0040257527876437
经海路,0.0045351473922902,0.0021232735518449,0.0587865416436845,9.620412059475844e-10,0.0022937911864263
五福堂,0.0045351473922902,0.0089878375592661,0.0542284228575499,8.247748687126293e-18,0.0027351297505397
西红门,0.0045351473922902,0.0397959183673469,0.0724068588820348,1.3437779939186626e-05,0.0026479192247027
荣京东街,0.0045351473922902,0.0303854875283446,0.0599531984789505,1.4356135897170177e-08,0.0016033204545983
次渠南,0.0045351473922902,0.0056792413935271,0.0573905551666576,3.4357298253403946e-11,0.001889832276435
万源街,0.0045351473922902,0.0345701917130488,0.0580181926064637,3.1360599549655457e-10,0.001935076898523
亦庄桥,0.0045351473922902,0.0428983714698,0.0588103836911268,1.449356954239196e-13,0.0019552640943999
次渠,0.0090702947845804,0.0185013399299113,0.0576109665161257,7.492781669617874e-13,0.0035764309938519
旧宫,0.0045351473922902,0.0470315398886827,0.0616263504977001,2.4735373883962114e-14,0.0026567504775906
亦庄文化园,0.0045351473922902,0.0387445887445887,0.0570069988419951,8.446688476602807e-12,0.0017992594725869
亦庄火车站,0.0022675736961451,0.0,0.0544592398802285,1.7547285305344114e-14,0.0010111433737813
景泰,0.0045351473922902,0.0249020820449391,0.0835934681328334,4.2567523397775173e-08,0.0014071944590888
永定门外,0.0090702947845804,0.0915378272521129,0.0864336197423535,2.30974384079102e-06,0.0033032908317613
土桥,0.0045351473922902,0.0112657184085755,0.0406181520227138,1.71008527460791e-33,0.0022512778425785
临河里,0.0045351473922902,0.0154710368996083,0.0422185955127392,1.3388894006354743e-31,0.0017613829507097
陶然亭,0.0045351473922902,0.032209853638425,0.084502798788513,1.9010661370300984e-06,0.0016637109465522
天桥,0.0045351473922902,0.0603483817769532,0.0840619146209208,7.564648594983232e-08,0.0017842683177972
天坛东门,0.0045351473922902,0.0618016903731189,0.0813426342863248,2.5116330872435755e-11,0.0019735840026511
梨园,0.0045351473922902,0.0196763553906411,0.0439503342254258,6.1166848939553464e-30,0.0022026397199163
菜市口,0.0090702947845804,0.0936817151102865,0.0872308819256597,3.9334179493103626e-08,0.0028105689723248
广安门内,0.0045351473922902,0.0583487940630797,0.0841594908421871,9.75329217036087e-10,0.0019782555033086
虎坊桥,0.0045351473922902,0.0566274994846423,0.085583397238494,5.901194035949266e-10,0.0014570854029062
达官营,0.0090702947845804,0.0806843949701092,0.0838189611104557,9.197157527042151e-10,0.0034301741685294
湾子,0.0045351473922902,0.0089466089466089,0.0787937707232866,1.0386273865213336e-11,0.0011482173090231
九棵树,0.0045351473922902,0.0238816738816738,0.0458302157778408,2.8866023306797908e-28,0.0019491901303915
珠市口,0.0090702947845804,0.1216862502576788,0.0861085526847318,1.1660314471025983e-09,0.0026926319274434
桥湾,0.0045351473922902,0.0164399092970521,0.0835292642402583,1.8757505924060987e-11,0.0013987989368367
磁器口,0.0090702947845804,0.0963924963924963,0.0846507896795612,8.503343364551219e-13,0.002799166167966
果园,0.0045351473922902,0.0280766852195423,0.0478780990714577,1.6949455165307582e-26,0.0019958913978718
广渠门内,0.0045351473922902,0.0276850133992991,0.0803065180290318,1.7870783428147142e-14,0.0017947390231728
广渠门外,0.0045351473922902,0.0258091115233972,0.0782833198062381,5.108954117915188e-16,0.0017488901640706
长椿街,0.0045351473922902,0.0468975468975468,0.0855329154862888,1.296177455084639e-11,0.0015331352396198
宣武门,0.0090702947845804,0.0852298495155638,0.0881678978847315,7.94167653367066e-10,0.0024971362762093
和平门,0.0045351473922902,0.0500412286126571,0.086969293915087,1.1920277410456903e-11,0.0014352147572896
前门,0.0090702947845804,0.1397443826015254,0.0875292571757073,2.101451367812757e-11,0.0035927205667153
崇文门,0.0090702947845804,0.1716347144918573,0.086969293915087,6.221508992805429e-13,0.002735716259935
潞城,0.0045351473922902,0.0045042259327973,0.0403731237274492,6.0381557260883755e-31,0.0027030841123118
北运河西,0.0045351473922902,0.0223149866007008,0.048084492999145,2.7248252150994515e-24,0.0026898923102896
郝家府,0.0045351473922902,0.0134508348794063,0.0439104076070723,1.19454727982499e-27,0.00184102403154
东夏园,0.0045351473922902,0.0089878375592661,0.0420716062053448,2.808022821946321e-29,0.0021790769835133
北运河东,0.0045351473922902,0.0178932178932178,0.0459075990041436,7.709793963193926e-26,0.0017718433282101
通州北苑,0.0045351473922902,0.0322716965574108,0.0501175585441549,6.790534096736874e-25,0.0023539239747956
北京站,0.0045351473922902,0.0906411049268192,0.0861597164118172,4.157375791328222e-14,0.0013963238767762
西单,0.0090702947845804,0.0734178519892805,0.0882215388690458,1.2898521381400256e-11,0.0031680276487329
南礼士路,0.0045351473922902,0.0780560709132137,0.0847332310407606,7.34724718388093e-13,0.0012461096214715
复兴门,0.0090702947845804,0.0837456194599051,0.0883110857010282,4.3894148665719855e-12,0.0032797607616609
木樨地,0.0090702947845804,0.1003092145949288,0.0847002352342806,3.1549294814736006e-11,0.0030530979986464
天安门西,0.0045351473922902,0.0378375592661306,0.0860404288297597,2.8272254598682137e-13,0.0016544339589388
天安门东,0.0045351473922902,0.0379818594104308,0.085633938614816,1.4139251440697322e-14,0.0013977471882997
王府井,0.0090702947845804,0.0741187384044526,0.0879006684508517,6.72939270994999e-13,0.0028112065077374
东单,0.0090702947845804,0.0917542774685631,0.0885447604647395,5.755668942064726e-14,0.0024469106629029
灵境胡同,0.0045351473922902,0.0362296433725005,0.0864336197423535,8.375376295548772e-11,0.0014437193225431
灯市口,0.0045351473922902,0.0242939600082457,0.0879717711149171,1.2113091253383676e-13,0.0012695711385177
通州北关,0.0045351473922902,0.0267161410018552,0.0504664046593115,5.298939267128157e-23,0.0030180050417742
阜成门,0.0045351473922902,0.0046485260770975,0.0894367615467239,1.1807925274313188e-10,0.0018114247062133
中国美术馆,0.0045351473922902,0.0327045969903112,0.0870563154219062,4.03078067375842e-12,0.0016631772527922
西四,0.0045351473922902,0.0357967429396,0.0906292517006802,5.3478874806124885e-09,0.0013795763341895
东四,0.0090702947845804,0.0879921665635951,0.092675843238872,8.745820094783766e-12,0.0030518361412755
物资学院路,0.0045351473922902,0.031096681096681,0.0530836373597639,1.1894415140665037e-21,0.0025367501353398
车公庄,0.0090702947845804,0.0822923108637394,0.0948376734604894,6.956440953623974e-09,0.0023957086551981
车公庄西,0.0045351473922902,0.0751288394145537,0.0893082340717029,1.0647670524450312e-10,0.0012547482648985
北海北,0.0045351473922902,0.0741084312512884,0.0944669724567351,6.970362675129905e-09,0.0016311800786377
张自忠路,0.0045351473922902,0.024654710368996,0.087989564757942,9.245510340627548e-11,0.0011981209719778
东四十条,0.0068027210884353,0.0715419501133786,0.0884547393581263,3.036258197013691e-09,0.0015924666237811
南锣鼓巷,0.0090702947845804,0.0969903112760255,0.093714004343659,1.6769546776420438e-10,0.0034497381330917
平安里,0.0136054421768707,0.1788703360131931,0.0985323687799015,2.9221249505290376e-07,0.0046804908532889
什刹海,0.0045351473922902,0.0219645433931148,0.0889248585779364,8.067096905008789e-12,0.0014273627938059
西直门,0.0113378684807256,0.0904143475572046,0.0913524586651124,2.2380769973945048e-10,0.0039933359588562
新街口,0.0045351473922902,0.072737579880437,0.0931521216623694,5.809851035484651e-09,0.0012556850920217
北新桥,0.0068027210884353,0.0239435168006596,0.0858875435662912,6.623650092161418e-09,0.0016763642223375
东直门,0.0113378684807256,0.0652958152958153,0.0899918097151976,2.204484764645016e-07,0.0035638817885126
积水潭,0.0068027210884353,0.0851267779839208,0.0946725589038662,8.401203289389692e-09,0.003024310526876
鼓楼大街,0.0090702947845804,0.0890228818800247,0.0929729446811851,2.5683906297744485e-10,0.0030391705446541
安定门,0.0045351473922902,0.0105132962275819,0.0895472227590089,1.1751543454152466e-10,0.0012480356191932
雍和宫,0.0090702947845804,0.0320861678004535,0.0890340581586707,8.818168553517523e-09,0.0024298069156238
安德里北街,0.0045351473922902,0.0644197072768501,0.0869345340054487,4.937358319034669e-12,0.0015747397978923
和平里北街,0.0045351473922902,0.0208410636982065,0.0839807737766921,1.8373613266361968e-10,0.0013432895543405
国展,0.0045351473922902,0.0267161410018552,0.0550658744510462,3.6065487183017133e-19,0.0020905208053741
花梨坎,0.0045351473922902,0.0223149866007008,0.0522421530158839,1.0142194307776595e-20,0.0020166334188275
后沙峪,0.0045351473922902,0.0178932178932178,0.0496825500414875,5.924074580481001e-22,0.0030697772718766
南法信,0.0045351473922902,0.0134508348794063,0.047351737037473,4.716931513494418e-23,0.0029398690790179
石门,0.0045351473922902,0.0089878375592661,0.045220416648988,2.191817136651302e-24,0.0019266860446894
顺义,0.0045351473922902,0.0045042259327973,0.0432640883305087,5.117285623352985e-26,0.0021941904672921
俸伯,0.0022675736961451,0.0,0.041462105238588,2.14338693875832e-27,0.0015369849706297
南邵,0.0045351473922902,0.0223149866007008,0.0507430780547375,3.238974180898777e-25,0.0029091806235927
昌平,0.0045351473922902,0.0089878375592661,0.0440928854817824,1.4045710019017394e-29,0.0030446766030038
昌平东关,0.0045351473922902,0.0134508348794063,0.046116867185759,3.312789658695038e-28,0.0020773272586657
北邵洼,0.0045351473922902,0.0178932178932178,0.0483248620487964,1.1399896281138191e-26,0.0017309101940617
十三陵景区,0.0045351473922902,0.0045042259327973,0.0422308909973075,8.404879158491387e-31,0.0026463316624643
昌平西山口,0.0022675736961451,0.0,0.0405122376758488,1.7816389680840773e-32,0.0009275362504395
